Health Facility,Week,Year,Cases,Station,Precipitation,MIN,MAX,Deaths
ALWAYS FTC,1,2014,1,ALWAYS FTC,100.64,20.568,25.862,0
ALWAYS FTC,2,2014,3,ALWAYS FTC,38.93,19.97285714,28.12,0
ALWAYS FTC,3,2014,1,ALWAYS FTC,27.21,18.70714286,28.67428571,0
ALWAYS FTC,4,2014,5,ALWAYS FTC,59.91,20.28285714,27.33,0
ALWAYS FTC,5,2014,2,ALWAYS FTC,66.88,20.24428571,26.29428571,0
ALWAYS FTC,6,2014,2,ALWAYS FTC,136.53,20.57,26.24714286,0
ALWAYS FTC,7,2014,1,ALWAYS FTC,88.15,18.57857143,27.14285714,0
ALWAYS FTC,8,2014,0,ALWAYS FTC,33.02,18.83857143,26.93571429,0
ALWAYS FTC,9,2014,0,ALWAYS FTC,16.09,19.07857143,27.93571429,0
ALWAYS FTC,10,2014,1,ALWAYS FTC,17.58,19.79857143,26.75428571,0
ALWAYS FTC,11,2014,2,ALWAYS FTC,15.48,19.98285714,27.16714286,0
ALWAYS FTC,12,2014,9,ALWAYS FTC,8.57,17.57714286,28.51142857,0
ALWAYS FTC,13,2014,4,ALWAYS FTC,11.14,17.19285714,28.19142857,0
ALWAYS FTC,14,2014,2,ALWAYS FTC,3.52,16.93857143,28.67857143,0
ALWAYS FTC,15,2014,135,ALWAYS FTC,2.48,15.66857143,26.58571429,0
ALWAYS FTC,16,2014,160,ALWAYS FTC,2.99,15.82428571,27.67142857,0
ALWAYS FTC,17,2014,120,ALWAYS FTC,15.4,16.59285714,28.83142857,0
ALWAYS FTC,18,2014,25,ALWAYS FTC,0.42,14.18,27.35714286,0
ALWAYS FTC,19,2014,73,ALWAYS FTC,0.1,15.74857143,28.21714286,0
ALWAYS FTC,20,2014,12,ALWAYS FTC,0,14.23857143,28.18714286,0
ALWAYS FTC,21,2014,21,ALWAYS FTC,0.04,13.93,26.22142857,0
ALWAYS FTC,22,2014,19,ALWAYS FTC,0,12.92714286,27.48428571,0
ALWAYS FTC,23,2014,38,ALWAYS FTC,0,13.15571429,28.22857143,0
ALWAYS FTC,24,2014,6,ALWAYS FTC,0,12.22571429,25.37714286,0
ALWAYS FTC,25,2014,0,ALWAYS FTC,0,11.79285714,26.1,0
ALWAYS FTC,26,2014,0,ALWAYS FTC,0.06,11.93,25.62428571,0
ALWAYS FTC,27,2014,2,ALWAYS FTC,0,12.17285714,24.85428571,0
ALWAYS FTC,28,2014,2,ALWAYS FTC,0,11.15285714,25.02,0
ALWAYS FTC,29,2014,3,ALWAYS FTC,0,10.77428571,25.93857143,0
ALWAYS FTC,30,2014,4,ALWAYS FTC,0,11.51571429,26.78285714,0
ALWAYS FTC,31,2014,4,ALWAYS FTC,0.02,12.48,26.62714286,0
ALWAYS FTC,32,2014,0,ALWAYS FTC,0,12.80428571,27.83714286,0
ALWAYS FTC,33,2014,1,ALWAYS FTC,0,13.72571429,26.42428571,0
ALWAYS FTC,34,2014,6,ALWAYS FTC,0,15.25714286,30.94285714,0
ALWAYS FTC,35,2014,3,ALWAYS FTC,0,13.63142857,29.83428571,0
ALWAYS FTC,36,2014,1,ALWAYS FTC,0.09,12.52285714,27.50142857,0
ALWAYS FTC,37,2014,1,ALWAYS FTC,0,16.60428571,31.85571429,0
ALWAYS FTC,38,2014,5,ALWAYS FTC,0,17.66571429,33.38428571,0
ALWAYS FTC,39,2014,3,ALWAYS FTC,0,15.87857143,32.47285714,0
ALWAYS FTC,40,2014,4,ALWAYS FTC,0.61,18.43857143,32.62,0
