Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
ALWAYS FTC,ALWAYS FTC,2025,1,3,0.5378310956738211,53.8,3.1,3.1
ALWAYS FTC,ALWAYS FTC,2025,2,6,0.3252738066694953,32.5,3.4,3.4
ALWAYS FTC,ALWAYS FTC,2025,3,5,0.7342917897484519,73.4,7.0,7.0
ALWAYS FTC,ALWAYS FTC,2025,4,1,0.6570188237410604,65.7,6.8,6.8
ALWAYS FTC,ALWAYS FTC,2025,5,6,0.5473585486412048,54.7,4.363636363636363,4.363636363636363
ALWAYS FTC,ALWAYS FTC,2025,6,5,0.7861918687820434,78.6,4.818181818181818,4.818181818181818
ALWAYS FTC,ALWAYS FTC,2025,7,5,0.3,30.0,3.4545454545454546,3.4545454545454546
ALWAYS FTC,ALWAYS FTC,2025,8,5,0.3,30.0,1.7272727272727273,1.7272727272727273
ALWAYS FTC,ALWAYS FTC,2025,9,6,0.5026234626770019,50.3,1.5454545454545454,1.5454545454545454
ALWAYS FTC,ALWAYS FTC,2025,10,6,0.5764769554138183,57.6,4.181818181818182,4.181818181818182
ALWAYS FTC,ALWAYS FTC,2025,11,8,0.6730333626270294,67.3,8.090909090909092,8.090909090909092
ALWAYS FTC,ALWAYS FTC,2025,12,8,0.7121916770935058,71.2,9.363636363636363,9.363636363636363
ALWAYS FTC,ALWAYS FTC,2025,13,9,0.8691152731577554,86.9,18.90909090909091,18.90909090909091
ALWAYS FTC,ALWAYS FTC,2025,14,9,0.6636570215225219,66.4,16.272727272727273,16.272727272727273
ALWAYS FTC,ALWAYS FTC,2025,15,11,0.8520113945007324,85.2,36.90909090909091,36.90909090909091
ALWAYS FTC,ALWAYS FTC,2025,16,9,0.8192922174930573,81.9,35.90909090909091,35.90909090909091
ALWAYS FTC,ALWAYS FTC,2025,17,10,0.8507601579030355,85.1,45.81818181818182,45.81818181818182
ALWAYS FTC,ALWAYS FTC,2025,18,8,0.8510416965858609,85.1,49.36363636363637,49.36363636363637
ALWAYS FTC,ALWAYS FTC,2025,19,8,0.8309895118077595,83.1,40.09090909090909,40.09090909090909
ALWAYS FTC,ALWAYS FTC,2025,20,6,0.8236251910527546,82.4,33.90909090909091,33.90909090909091
ALWAYS FTC,ALWAYS FTC,2025,21,6,0.7002564907073974,70.0,17.0,17.0
ALWAYS FTC,ALWAYS FTC,2025,22,5,0.8388052558898926,83.9,20.181818181818183,20.181818181818183
ALWAYS FTC,ALWAYS FTC,2025,23,4,0.7688339333785208,76.9,18.0,18.0
ALWAYS FTC,ALWAYS FTC,2025,24,4,0.7329773247241973,73.3,7.818181818181818,7.818181818181818
ALWAYS FTC,ALWAYS FTC,2025,25,4,0.7411798795064289,74.1,5.545454545454546,5.545454545454546
ALWAYS FTC,ALWAYS FTC,2025,26,4,0.6806140032681551,68.1,4.363636363636363,4.363636363636363
ALWAYS FTC,ALWAYS FTC,2025,27,4,0.6365767955780028,63.7,4.0,4.0
ALWAYS FTC,ALWAYS FTC,2025,28,4,0.6149421215057373,61.5,2.8181818181818183,2.8181818181818183
ALWAYS FTC,ALWAYS FTC,2025,29,4,0.5976054430007934,59.8,1.8181818181818181,1.8181818181818181
ALWAYS FTC,ALWAYS FTC,2025,30,4,0.3,30.0,1.8181818181818181,1.8181818181818181
ALWAYS FTC,ALWAYS FTC,2025,31,4,0.47433034181594846,47.4,1.4545454545454546,1.4545454545454546
ALWAYS FTC,ALWAYS FTC,2025,32,3,0.4868069291114807,48.7,1.1818181818181819,1.1818181818181819
ALWAYS FTC,ALWAYS FTC,2025,33,4,0.6355950474739074,63.6,3.3636363636363638,3.3636363636363638
