Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
ALWAYS FTC,ALWAYS FTC,2025,1,2,0.3,30.0,2.909090909090909,7.481239797146224
ALWAYS FTC,ALWAYS FTC,2025,2,4,0.3,30.0,3.3636363636363638,10.246421212280644
ALWAYS FTC,ALWAYS FTC,2025,3,3,0.5647709465026856,56.5,6.454545454545454,15.028554806280287
ALWAYS FTC,ALWAYS FTC,2025,4,4,0.3,30.0,6.636363636363637,16.56977831978078
ALWAYS FTC,ALWAYS FTC,2025,5,3,0.3,30.0,4.363636363636363,12.223199155085215
ALWAYS FTC,ALWAYS FTC,2025,6,3,0.5758218526840209,57.6,4.818181818181818,11.032534706309576
ALWAYS FTC,ALWAYS FTC,2025,7,4,0.3,30.0,3.4545454545454546,10.073732441150106
ALWAYS FTC,ALWAYS FTC,2025,8,8,0.3,30.0,1.7272727272727273,5.701050412411781
ALWAYS FTC,ALWAYS FTC,2025,9,12,0.3,30.0,1.5454545454545454,3.5981689346564054
ALWAYS FTC,ALWAYS FTC,2025,10,14,0.3,30.0,4.181818181818182,11.275349165621792
ALWAYS FTC,ALWAYS FTC,2025,11,22,0.3,30.0,8.090909090909092,32.23536074039878
ALWAYS FTC,ALWAYS FTC,2025,12,16,0.3,30.0,9.363636363636363,34.258871395118334
ALWAYS FTC,ALWAYS FTC,2025,13,14,0.3,30.0,18.90909090909091,80.84821057876772
ALWAYS FTC,ALWAYS FTC,2025,14,15,0.3,30.0,16.272727272727273,51.09141347842591
ALWAYS FTC,ALWAYS FTC,2025,15,16,0.698156992594401,69.8,36.90909090909091,110.44414748386038
ALWAYS FTC,ALWAYS FTC,2025,16,14,0.6440900867268191,64.4,35.90909090909091,103.06640283753654
ALWAYS FTC,ALWAYS FTC,2025,17,11,0.5614125061035156,56.1,45.81818181818182,124.34950156908235
ALWAYS FTC,ALWAYS FTC,2025,18,8,0.6089578946431478,60.9,49.36363636363637,109.5668150776605
ALWAYS FTC,ALWAYS FTC,2025,19,4,0.7104323466618855,71.0,40.09090909090909,98.70024747187486
ALWAYS FTC,ALWAYS FTC,2025,20,5,0.6312816421190897,63.1,33.90909090909091,80.59479049102441
ALWAYS FTC,ALWAYS FTC,2025,21,5,0.5884477456410726,58.8,17.0,39.40981927637972
ALWAYS FTC,ALWAYS FTC,2025,22,4,0.7627952506325462,76.3,20.181818181818183,44.450484849317284
ALWAYS FTC,ALWAYS FTC,2025,23,3,0.7688339333785208,76.9,18.0,34.32176461048253
ALWAYS FTC,ALWAYS FTC,2025,24,3,0.5588810920715332,55.9,7.818181818181818,19.94534891599085
ALWAYS FTC,ALWAYS FTC,2025,25,3,0.6459810384114583,64.6,5.545454545454546,15.38992692154644
ALWAYS FTC,ALWAYS FTC,2025,26,3,0.6355064272880554,63.6,4.363636363636363,10.630431978041486
ALWAYS FTC,ALWAYS FTC,2025,27,3,0.6795811732610066,68.0,4.0,9.531726674375733
ALWAYS FTC,ALWAYS FTC,2025,28,2,0.49209533731142674,49.2,2.8181818181818183,6.481265466992179
ALWAYS FTC,ALWAYS FTC,2025,29,3,0.3,30.0,1.8181818181818181,4.4861739130317675
ALWAYS FTC,ALWAYS FTC,2025,30,3,0.3,30.0,1.8181818181818181,4.878930389721437
ALWAYS FTC,ALWAYS FTC,2025,31,3,0.3,30.0,1.4545454545454546,3.7158805388786815
