Health Facility,Station,Year,Week,Pred_Deaths,confidence_rate_deaths,confidence_pct_deaths
ALWAYS FTC,ALWAYS FTC,2025,1,0,0.8416630655523307,84.2
ALWAYS FTC,ALWAYS FTC,2025,2,0,0.8824516166810912,88.2
ALWAYS FTC,ALWAYS FTC,2025,3,0,0.8827318723347299,88.3
ALWAYS FTC,ALWAYS FTC,2025,4,0,0.8582939478761797,85.8
ALWAYS FTC,ALWAYS FTC,2025,5,0,0.8969222141957021,89.7
ALWAYS FTC,ALWAYS FTC,2025,6,0,0.8865635407272199,88.7
ALWAYS FTC,ALWAYS FTC,2025,7,0,0.930864504569171,93.1
ALWAYS FTC,ALWAYS FTC,2025,8,0,0.9298592064602105,93.0
ALWAYS FTC,ALWAYS FTC,2025,9,0,0.9227723262480076,92.3
ALWAYS FTC,ALWAYS FTC,2025,10,0,0.8634323277527827,86.3
ALWAYS FTC,ALWAYS FTC,2025,11,0,0.904383712014198,90.4
ALWAYS FTC,ALWAYS FTC,2025,12,0,0.8949385036591124,89.5
ALWAYS FTC,ALWAYS FTC,2025,13,0,0.8931263914162588,89.3
ALWAYS FTC,ALWAYS FTC,2025,14,0,0.9163996438753563,91.6
ALWAYS FTC,ALWAYS FTC,2025,15,0,0.9102952127259127,91.0
ALWAYS FTC,ALWAYS FTC,2025,16,0,0.8802207786311429,88.0
ALWAYS FTC,ALWAYS FTC,2025,17,0,0.7933716384475046,79.3
ALWAYS FTC,ALWAYS FTC,2025,18,0,0.8192096911429436,81.9
ALWAYS FTC,ALWAYS FTC,2025,19,0,0.8067749928553323,80.7
ALWAYS FTC,ALWAYS FTC,2025,20,0,0.7839512290691703,78.4
ALWAYS FTC,ALWAYS FTC,2025,21,0,0.8301314539387707,83.0
ALWAYS FTC,ALWAYS FTC,2025,22,0,0.8632289266729565,86.3
ALWAYS FTC,ALWAYS FTC,2025,23,0,0.8543796681048172,85.4
ALWAYS FTC,ALWAYS FTC,2025,24,0,0.8823272792284529,88.2
ALWAYS FTC,ALWAYS FTC,2025,25,0,0.9144215118080641,91.4
ALWAYS FTC,ALWAYS FTC,2025,26,0,0.9345077059595897,93.5
ALWAYS FTC,ALWAYS FTC,2025,27,0,0.9375918548123876,93.8
ALWAYS FTC,ALWAYS FTC,2025,28,0,0.9421212235422585,94.2
ALWAYS FTC,ALWAYS FTC,2025,29,0,0.9263867387284817,92.6
ALWAYS FTC,ALWAYS FTC,2025,30,0,0.924028324314063,92.4
ALWAYS FTC,ALWAYS FTC,2025,31,0,0.9226713204169261,92.3
ALWAYS FTC,ALWAYS FTC,2025,32,0,0.9148484656691951,91.5
ALWAYS FTC,ALWAYS FTC,2025,33,0,0.9012785396117979,90.1
ALWAYS FTC,ALWAYS FTC,2025,34,0,0.8916741483130928,89.2
ALWAYS FTC,ALWAYS FTC,2025,35,0,0.8958848435431284,89.6
ALWAYS FTC,ALWAYS FTC,2025,36,0,0.909112137187799,90.9
ALWAYS FTC,ALWAYS FTC,2025,37,0,0.8591380279752447,85.9
ALWAYS FTC,ALWAYS FTC,2025,38,0,0.8555332732812486,85.6
ALWAYS FTC,ALWAYS FTC,2025,39,0,0.7675267207199963,76.8
ALWAYS FTC,ALWAYS FTC,2025,40,0,0.8759783151925375,87.6
ALWAYS FTC,ALWAYS FTC,2025,41,0,0.8412932325276468,84.1
ALWAYS FTC,ALWAYS FTC,2025,42,0,0.8785025790322085,87.9
